question,completeness,completeness,accuracy,accuracy,relevance,relevance,recall_final,recall_final,recall_total,recall_total,tags,total_retrived_entities
,mean,std,mean,std,mean,std,mean,std,mean,std,first,first
What are the AI Tasks that generated programs?,0.875,0.04999999999999998,0.8,0.08164965809277265,0.85,0.12909944487358055,1.0,0.0,1.0,0.0,structural,41
what are the instructions used as an object record to the 'Information-Extraction' AI Task?,0.8,0.12247448713915891,0.78,0.16431676725154984,0.8400000000000001,0.15165750888103102,1.0,0.0,1.0,0.0,structural,14
what are the instructions used as an object record to the post-processing-query step AI Task?,0.9800000000000001,0.04472135954999578,0.9800000000000001,0.04472135954999578,1.0,0.0,1.0,0.0,1.0,0.0,structural,14
what is the program that takes the system prompt created by the program system_prompt_generator as an input ?,0.6799999999999999,0.43817804600413285,0.64,0.4979959839195493,0.32,0.24899799195977465,0.0,0.0,0.0,0.0,structural,0
what is the program that uses as input the output of the llm_chat program?,0.62,0.521536192416212,0.2,0.447213595499958,0.4,0.4183300132670378,0.0,0.0,0.0,0.0,structural,0
what is the steps in order of programs?,0.634,0.1314534138012399,0.614,0.10478549517943792,0.634,0.08532291603080616,1.0,0.0,1.0,0.0,structural,78
what was the SPARQL query used as an object record to the sparql_query_extraction AI Task?,0.96,0.05477225575051658,0.96,0.05477225575051658,0.96,0.05477225575051658,1.0,0.0,1.0,0.0,row-level,12
what was the builder llm used as an object record to the information-extraction AI Task?,0.9400000000000001,0.08944271909999155,0.9400000000000001,0.08944271909999155,0.96,0.0547722557505166,1.0,0.0,1.0,0.0,structural,11
what was the builder llm used as an object record to the sparql_query_extraction AI Task?,0.44000000000000006,0.13416407864998736,0.45999999999999996,0.08944271909999159,0.44000000000000006,0.13416407864998736,0.0,0.0,0.0,0.0,structural,14
what was the builder llm used as an object record to the system_prompt_template AI Task?,0.64,0.1816590212458495,0.6599999999999999,0.15165750888103105,0.6399999999999999,0.08944271909999157,1.0,0.0,1.0,0.0,structural,12
what was the sparql results generated by the execution of sparql_query_extractor with id 1_2,0.54,0.151657508881031,0.44000000000000006,0.1341640786499874,0.5599999999999999,0.08944271909999155,0.56,0.0,0.56,0.0,row-level,51
what was the system prompt generated by the execution of system_prompt_generation with id 1_2,1.0,0.0,0.96,0.05477225575051663,1.0,0.0,1.0,0.0,1.0,0.0,row-level,18
what were the extracted ingredients generated by the execution of information_extraction with id 1_2,0.9,0.09999999999999999,0.86,0.1140175425099138,0.86,0.1341640786499874,0.5,0.0,0.5,0.0,row-level,32
